"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-02-11,"Fraser",39,294,0,47
2020-02-11,"Interior",4,21,0,72
2020-02-11,"Northern",1,5,0,72
2020-02-11,"Unknown",0,0,0,0
2020-02-11,"Vancouver Coastal",19,180,0,68
2020-02-11,"Vancouver Island",7,48,0,24
2020-02-12,"BC",55,608,0,29
2020-02-12,"Fraser",28,322,0,21
2020-02-12,"Interior",6,27,0,48
2020-02-12,"Northern",0,0,0,0
2020-02-12,"Unknown",0,0,0,0
2020-02-12,"Vancouver Coastal",15,195,0,35
2020-02-12,"Vancouver Island",6,54,0,32
2020-02-13,"BC",91,699,2.2,28
2020-02-13,"Fraser",55,377,0,22
2020-02-13,"Interior",2,29,100,48
2020-02-13,"Northern",1,6,0,72
2020-02-13,"Unknown",0,0,0,0
2020-02-13,"Vancouver Coastal",27,222,0,34
2020-02-13,"Vancouver Island",6,60,0,44
2020-02-14,"BC",44,743,0,34
2020-02-14,"Fraser",13,390,0,24
2020-02-14,"Interior",2,31,0,48
2020-02-14,"Northern",0,0,0,0
2020-02-14,"Unknown",0,0,0,0
2020-02-14,"Vancouver Coastal",25,247,0,34
2020-02-14,"Vancouver Island",4,64,0,60
2020-02-15,"BC",12,755,0,30
2020-02-15,"Fraser",1,391,0,24
2020-02-15,"Interior",4,35,0,48
2020-02-15,"Northern",0,0,0,0
2020-02-15,"Unknown",0,0,0,0
2020-02-15,"Vancouver Coastal",7,254,0,21
2020-02-15,"Vancouver Island",0,0,0,0
2020-02-16,"BC",29,784,0,56
2020-02-16,"Fraser",8,399,0,66
2020-02-16,"Interior",0,0,0,0
2020-02-16,"Northern",2,8,0,96
2020-02-16,"Unknown",0,0,0,0
2020-02-16,"Vancouver Coastal",11,265,0,52
2020-02-16,"Vancouver Island",8,72,0,42
2020-02-17,"BC",4,788,0,12
2020-02-17,"Fraser",1,400,0,0
2020-02-17,"Interior",0,0,0,0
2020-02-17,"Northern",0,0,0,0
2020-02-17,"Unknown",0,0,0,0
2020-02-17,"Vancouver Coastal",3,268,0,16
2020-02-17,"Vancouver Island",0,0,0,0
2020-02-18,"BC",101,889,1.98,46
2020-02-18,"Fraser",57,457,3.51,55
2020-02-18,"Interior",0,0,0,0
2020-02-18,"Northern",4,12,0,48
2020-02-18,"Unknown",0,0,0,0
2020-02-18,"Vancouver Coastal",36,304,0,31
2020-02-18,"Vancouver Island",4,76,0,54
2020-02-19,"BC",57,946,0,54
2020-02-19,"Fraser",28,485,0,47
2020-02-19,"Interior",10,45,0,106
2020-02-19,"Northern",0,0,0,0
2020-02-19,"Unknown",0,0,0,0
2020-02-19,"Vancouver Coastal",17,321,0,37
2020-02-19,"Vancouver Island",2,78,0,48
2020-02-20,"BC",65,1011,0,38
2020-02-20,"Fraser",37,522,0,36
2020-02-20,"Interior",6,51,0,64
2020-02-20,"Northern",0,0,0,0
2020-02-20,"Unknown",0,0,0,0
2020-02-20,"Vancouver Coastal",20,341,0,37
2020-02-20,"Vancouver Island",2,80,0,24
2020-02-21,"BC",45,1056,4.44,31
2020-02-21,"Fraser",29,551,6.9,28
2020-02-21,"Interior",0,0,0,0
2020-02-21,"Northern",0,0,0,0
2020-02-21,"Unknown",0,0,0,0
2020-02-21,"Vancouver Coastal",16,357,0,36
2020-02-21,"Vancouver Island",0,0,0,0
2020-02-22,"BC",44,1100,4.55,34
2020-02-22,"Fraser",20,571,10,43
2020-02-22,"Interior",3,54,0,16
2020-02-22,"Northern",0,0,0,0
2020-02-22,"Unknown",0,0,0,0
2020-02-22,"Vancouver Coastal",19,376,0,23
2020-02-22,"Vancouver Island",2,82,0,72
2020-02-23,"BC",17,1117,0,25
2020-02-23,"Fraser",11,582,0,35
2020-02-23,"Interior",2,56,0,0
2020-02-23,"Northern",0,0,0,0
2020-02-23,"Unknown",0,0,0,0
2020-02-23,"Vancouver Coastal",4,380,0,12
2020-02-23,"Vancouver Island",0,0,0,0
2020-02-24,"BC",61,1178,0,36
2020-02-24,"Fraser",38,620,0,42
2020-02-24,"Interior",0,0,0,0
2020-02-24,"Northern",0,0,0,0
2020-02-24,"Unknown",0,0,0,0
2020-02-24,"Vancouver Coastal",23,403,0,26
2020-02-24,"Vancouver Island",0,0,0,0
2020-02-25,"BC",76,1254,0,43
2020-02-25,"Fraser",48,668,0,46
2020-02-25,"Interior",1,57,0,96
2020-02-25,"Northern",4,16,0,0
2020-02-25,"Unknown",0,0,0,0
2020-02-25,"Vancouver Coastal",18,421,0,27
2020-02-25,"Vancouver Island",5,87,0,96
2020-02-26,"BC",138,1392,0,30
2020-02-26,"Fraser",76,744,0,28
2020-02-26,"Interior",2,59,0,72
2020-02-26,"Northern",3,19,0,56
2020-02-26,"Unknown",2,7,0,12
2020-02-26,"Vancouver Coastal",53,474,0,32
2020-02-26,"Vancouver Island",2,89,0,24
2020-02-27,"BC",121,1513,0,35
2020-02-27,"Fraser",63,807,0,31
2020-02-27,"Interior",2,61,0,48
2020-02-27,"Northern",1,20,0,72
2020-02-27,"Unknown",1,8,0,24
2020-02-27,"Vancouver Coastal",53,527,0,38
2020-02-27,"Vancouver Island",1,90,0,48
2020-02-28,"BC",148,1661,0,38
2020-02-28,"Fraser",83,890,0,29
2020-02-28,"Interior",11,72,0,87
2020-02-28,"Northern",0,0,0,0
2020-02-28,"Unknown",0,0,0,0
2020-02-28,"Vancouver Coastal",44,571,0,35
2020-02-28,"Vancouver Island",10,100,0,65
2020-02-29,"BC",105,1766,2.86,31
2020-02-29,"Fraser",60,950,3.33,24
2020-02-29,"Interior",4,76,0,60
2020-02-29,"Northern",5,25,0,34
2020-02-29,"Unknown",0,0,0,0
2020-02-29,"Vancouver Coastal",23,594,4.35,38
2020-02-29,"Vancouver Island",13,113,0,46
2020-03-01,"BC",71,1837,1.41,23
2020-03-01,"Fraser",32,982,0,25
2020-03-01,"Interior",0,0,0,0
2020-03-01,"Northern",0,0,0,0
2020-03-01,"Unknown",1,9,0,0
2020-03-01,"Vancouver Coastal",37,631,0,23
2020-03-01,"Vancouver Island",1,114,0,0
2020-03-02,"BC",194,2031,1.03,42
2020-03-02,"Fraser",107,1089,1.87,46
2020-03-02,"Interior",0,0,0,0
2020-03-02,"Northern",0,0,0,0
2020-03-02,"Unknown",0,0,0,0
2020-03-02,"Vancouver Coastal",78,709,0,36
2020-03-02,"Vancouver Island",9,123,0,53
2020-03-03,"BC",310,2341,0.97,46
2020-03-03,"Fraser",121,1210,0.83,36
2020-03-03,"Interior",67,143,0,67
2020-03-03,"Northern",10,35,0,70
2020-03-03,"Unknown",0,0,0,0
2020-03-03,"Vancouver Coastal",87,796,2.3,39
2020-03-03,"Vancouver Island",25,148,0,45
2020-03-04,"BC",484,2825,1.65,39
2020-03-04,"Fraser",213,1423,0.94,31
2020-03-04,"Interior",39,182,0,39
2020-03-04,"Northern",22,57,0,117
2020-03-04,"Unknown",2,11,0,72
2020-03-04,"Vancouver Coastal",170,966,3.53,39
2020-03-04,"Vancouver Island",38,186,0,40
2020-03-05,"BC",369,3194,2.44,40
2020-03-05,"Fraser",164,1587,1.22,34
2020-03-05,"Interior",27,209,0,56
2020-03-05,"Northern",13,70,0,148
2020-03-05,"Unknown",0,0,0,0
2020-03-05,"Vancouver Coastal",112,1078,6.25,32
2020-03-05,"Vancouver Island",53,239,0,43
2020-03-06,"BC",756,3950,0.79,45
2020-03-06,"Fraser",346,1933,0.29,44
2020-03-06,"Interior",60,269,0,49
2020-03-06,"Northern",21,91,0,61
2020-03-06,"Unknown",1,12,0,96
2020-03-06,"Vancouver Coastal",248,1326,2.02,44
2020-03-06,"Vancouver Island",80,319,0,40
2020-03-07,"BC",442,4392,2.04,44
2020-03-07,"Fraser",207,2140,3.38,38
2020-03-07,"Interior",77,346,0,72
2020-03-07,"Northern",5,96,0,53
