"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-04-19,"Unknown",7,580,0,24
2020-04-19,"Vancouver Coastal",281,19220,2.85,23
2020-04-19,"Vancouver Island",162,9286,1.23,27
2020-04-20,"BC",1246,65924,4.33,25
2020-04-20,"Fraser",474,24293,7.17,28
2020-04-20,"Interior",171,9319,2.92,18
2020-04-20,"Northern",93,2718,0,45
2020-04-20,"Unknown",10,590,0,31
2020-04-20,"Vancouver Coastal",328,19548,2.44,22
2020-04-20,"Vancouver Island",170,9456,4.12,20
2020-04-21,"BC",1485,67409,5.45,26
2020-04-21,"Fraser",655,24948,5.04,29
2020-04-21,"Interior",151,9470,3.31,30
2020-04-21,"Northern",58,2776,0,46
2020-04-21,"Unknown",7,597,0,34
2020-04-21,"Vancouver Coastal",404,19952,10.4,21
2020-04-21,"Vancouver Island",210,9666,0.48,16
2020-04-22,"BC",1870,69279,1.93,24
2020-04-22,"Fraser",610,25558,2.13,23
2020-04-22,"Interior",387,9857,1.29,29
2020-04-22,"Northern",91,2867,1.1,36
2020-04-22,"Unknown",20,617,0,19
2020-04-22,"Vancouver Coastal",519,20471,2.5,22
2020-04-22,"Vancouver Island",243,9909,1.23,19
2020-04-23,"BC",2300,71579,3.74,25
2020-04-23,"Fraser",870,26428,6.55,27
2020-04-23,"Interior",340,10197,1.18,28
2020-04-23,"Northern",101,2968,0.99,40
2020-04-23,"Unknown",19,636,0,28
2020-04-23,"Vancouver Coastal",573,21044,3.32,22
2020-04-23,"Vancouver Island",397,10306,1.01,19
2020-04-24,"BC",2536,74115,2.72,27
2020-04-24,"Fraser",943,27371,5.2,29
2020-04-24,"Interior",427,10624,0.7,26
2020-04-24,"Northern",99,3067,2.02,35
2020-04-24,"Unknown",25,661,0,24
2020-04-24,"Vancouver Coastal",635,21679,2.05,26
2020-04-24,"Vancouver Island",407,10713,0.25,21
2020-04-25,"BC",2447,76562,1.72,26
2020-04-25,"Fraser",701,28072,2.57,31
2020-04-25,"Interior",346,10970,0.29,25
2020-04-25,"Northern",116,3183,0,33
2020-04-25,"Unknown",28,689,0,30
2020-04-25,"Vancouver Coastal",787,22466,2.41,24
2020-04-25,"Vancouver Island",469,11182,0.43,22
2020-04-26,"BC",2239,78801,1.97,30
2020-04-26,"Fraser",908,28980,3.41,34
2020-04-26,"Interior",260,11230,2.69,32
2020-04-26,"Northern",103,3286,0,42
2020-04-26,"Unknown",10,699,0,26
2020-04-26,"Vancouver Coastal",638,23104,0.78,27
2020-04-26,"Vancouver Island",320,11502,0.31,21
2020-04-27,"BC",2108,80909,2.89,27
2020-04-27,"Fraser",910,29890,4.84,32
2020-04-27,"Interior",255,11485,0.78,28
2020-04-27,"Northern",62,3348,1.61,30
2020-04-27,"Unknown",26,725,0,27
2020-04-27,"Vancouver Coastal",529,23633,2.27,22
2020-04-27,"Vancouver Island",326,11828,0.31,18
2020-04-28,"BC",2767,83676,2.1,25
2020-04-28,"Fraser",1135,31025,3.61,30
2020-04-28,"Interior",401,11886,0.25,24
2020-04-28,"Northern",68,3416,2.94,40
2020-04-28,"Unknown",21,746,0,25
2020-04-28,"Vancouver Coastal",696,24329,1.87,21
2020-04-28,"Vancouver Island",446,12274,0.22,19
2020-04-29,"BC",2662,86338,1.54,25
2020-04-29,"Fraser",1042,32067,2.78,28
2020-04-29,"Interior",346,12232,1.45,28
2020-04-29,"Northern",107,3523,1.87,42
2020-04-29,"Unknown",19,765,0,71
2020-04-29,"Vancouver Coastal",687,25016,0.73,20
2020-04-29,"Vancouver Island",461,12735,0,20
2020-04-30,"BC",2643,88981,1.48,28
2020-04-30,"Fraser",857,32924,2.33,31
2020-04-30,"Interior",431,12663,0.93,31
2020-04-30,"Northern",180,3703,1.67,40
2020-04-30,"Unknown",23,788,0,26
2020-04-30,"Vancouver Coastal",691,25707,1.59,24
2020-04-30,"Vancouver Island",461,13196,0.22,20
2020-05-01,"BC",2826,91807,2.09,28
2020-05-01,"Fraser",1006,33930,4.47,30
2020-05-01,"Interior",412,13075,0,33
2020-05-01,"Northern",118,3821,0.85,39
2020-05-01,"Unknown",18,806,0,37
2020-05-01,"Vancouver Coastal",757,26464,1.32,25
2020-05-01,"Vancouver Island",515,13711,0.39,22
2020-05-02,"BC",2667,94474,1.61,29
2020-05-02,"Fraser",940,34870,2.23,32
2020-05-02,"Interior",431,13506,0.46,31
2020-05-02,"Northern",157,3978,0.64,34
2020-05-02,"Unknown",14,820,0,27
2020-05-02,"Vancouver Coastal",708,27172,2.54,25
2020-05-02,"Vancouver Island",417,14128,0.24,25
2020-05-03,"BC",2424,96898,1.86,30
2020-05-03,"Fraser",804,35674,3.98,34
2020-05-03,"Interior",475,13981,0.42,29
2020-05-03,"Northern",57,4035,3.51,37
2020-05-03,"Unknown",19,839,0,30
2020-05-03,"Vancouver Coastal",687,27859,1.31,30
2020-05-03,"Vancouver Island",382,14510,0,22
2020-05-04,"BC",1989,98887,2.06,23
2020-05-04,"Fraser",676,36350,3.85,26
2020-05-04,"Interior",528,14509,0.95,22
2020-05-04,"Northern",67,4102,2.99,28
2020-05-04,"Unknown",12,851,0,20
2020-05-04,"Vancouver Coastal",405,28264,1.48,22
2020-05-04,"Vancouver Island",301,14811,0,17
2020-05-05,"BC",2100,100987,2.05,24
2020-05-05,"Fraser",596,36946,5.03,28
2020-05-05,"Interior",492,15001,0.61,27
2020-05-05,"Northern",72,4174,4.17,32
2020-05-05,"Unknown",16,867,0,21
2020-05-05,"Vancouver Coastal",606,28870,1.16,22
2020-05-05,"Vancouver Island",318,15129,0,18
2020-05-06,"BC",2839,103826,1.2,25
2020-05-06,"Fraser",934,37880,1.71,25
2020-05-06,"Interior",754,15755,0.4,26
2020-05-06,"Northern",109,4283,0,38
2020-05-06,"Unknown",18,885,0,32
2020-05-06,"Vancouver Coastal",634,29504,2.37,22
2020-05-06,"Vancouver Island",390,15519,0,20
2020-05-07,"BC",2691,106517,1.56,26
2020-05-07,"Fraser",854,38734,2.93,29
2020-05-07,"Interior",751,16506,0.27,26
2020-05-07,"Northern",116,4399,0.86,39
2020-05-07,"Unknown",11,896,0,22
2020-05-07,"Vancouver Coastal",581,30085,2.07,25
2020-05-07,"Vancouver Island",378,15897,0.53,19
2020-05-08,"BC",2129,108646,1.74,24
2020-05-08,"Fraser",806,39540,2.48,25
2020-05-08,"Interior",303,16809,0,27
2020-05-08,"Northern",104,4503,0.96,32
2020-05-08,"Unknown",21,917,0,24
2020-05-08,"Vancouver Coastal",566,30651,2.83,24
2020-05-08,"Vancouver Island",329,16226,0,18
2020-05-09,"BC",1884,110530,1.54,24
2020-05-09,"Fraser",650,40190,3.38,24
2020-05-09,"Interior",334,17143,0.9,26
2020-05-09,"Northern",67,4570,1.49,32
2020-05-09,"Unknown",26,943,0,33
2020-05-09,"Vancouver Coastal",560,31211,0.54,22
2020-05-09,"Vancouver Island",247,16473,0,21
2020-05-10,"BC",1267,111797,1.34,24
2020-05-10,"Fraser",390,40580,3.08,28
2020-05-10,"Interior",187,17330,1.07,20
2020-05-10,"Northern",48,4618,0,38
2020-05-10,"Unknown",12,955,0,26
2020-05-10,"Vancouver Coastal",430,31641,0.7,22
2020-05-10,"Vancouver Island",200,16673,0,21
2020-05-11,"BC",1192,112989,1.76,23
2020-05-11,"Fraser",475,41055,2.95,29
2020-05-11,"Interior",171,17501,1.75,19
2020-05-11,"Northern",32,4650,3.12,36
2020-05-11,"Unknown",20,975,0,29
2020-05-11,"Vancouver Coastal",287,31928,1.05,21
2020-05-11,"Vancouver Island",207,16880,0,16
2020-05-12,"BC",1764,114753,1.42,22
2020-05-12,"Fraser",718,41773,2.51,22
2020-05-12,"Interior",211,17712,0.47,25
2020-05-12,"Northern",39,4689,0,32
2020-05-12,"Unknown",16,991,0,26
2020-05-12,"Vancouver Coastal",521,32449,1.15,23
2020-05-12,"Vancouver Island",259,17139,0,17
2020-05-13,"BC",2074,116827,1.69,22
2020-05-13,"Fraser",731,42504,4.1,21
2020-05-13,"Interior",301,18013,0,25
2020-05-13,"Northern",63,4752,3.17,38
2020-05-13,"Unknown",18,1009,0,20
2020-05-13,"Vancouver Coastal",596,33045,0.5,21
2020-05-13,"Vancouver Island",365,17504,0,19
2020-05-14,"BC",2013,118840,1.84,24
2020-05-14,"Fraser",647,43151,3.09,25
2020-05-14,"Interior",338,18351,0.3,27
2020-05-14,"Northern",79,4831,1.27,47
2020-05-14,"Unknown",18,1027,0,21
2020-05-14,"Vancouver Coastal",602,33647,2.49,22
2020-05-14,"Vancouver Island",329,17833,0,19
2020-05-15,"BC",1956,120796,1.53,25
2020-05-15,"Fraser",760,43911,3.42,25
2020-05-15,"Interior",232,18583,0,34
2020-05-15,"Northern",74,4905,2.7,37
2020-05-15,"Unknown",14,1041,0,26
2020-05-15,"Vancouver Coastal",554,34201,0,23
2020-05-15,"Vancouver Island",322,18155,0.31,19
2020-05-16,"BC",1719,122515,1.05,26
2020-05-16,"Fraser",585,44496,2.05,26
2020-05-16,"Interior",331,18914,0.6,31
2020-05-16,"Northern",64,4969,0,38
2020-05-16,"Unknown",6,1047,0,28
2020-05-16,"Vancouver Coastal",449,34650,0.89,23
2020-05-16,"Vancouver Island",284,18439,0,21
2020-05-17,"BC",1411,123926,1.06,25
2020-05-17,"Fraser",552,45048,1.45,26
2020-05-17,"Interior",236,19150,0,29
2020-05-17,"Northern",44,5013,0,47
2020-05-17,"Unknown",12,1059,0,22
2020-05-17,"Vancouver Coastal",388,35038,1.8,22
2020-05-17,"Vancouver Island",179,18618,0,20
2020-05-18,"BC",1143,125069,1.4,24
2020-05-18,"Fraser",522,45570,2.3,25
2020-05-18,"Interior",132,19282,0,20
2020-05-18,"Northern",19,5032,0,35
2020-05-18,"Unknown",12,1071,0,14
2020-05-18,"Vancouver Coastal",311,35349,1.29,23
2020-05-18,"Vancouver Island",147,18765,0,24
2020-05-19,"BC",1167,126236,1.63,20
2020-05-19,"Fraser",466,46036,2.15,19
2020-05-19,"Interior",170,19452,1.76,17
2020-05-19,"Northern",21,5053,4.76,49
2020-05-19,"Unknown",13,1084,0,18
2020-05-19,"Vancouver Coastal",308,35657,1.62,21
2020-05-19,"Vancouver Island",189,18954,0,17
2020-05-20,"BC",1787,128023,1.51,24
2020-05-20,"Fraser",619,46655,1.78,26
2020-05-20,"Interior",283,19735,0,23
2020-05-20,"Northern",57,5110,0,33
2020-05-20,"Unknown",12,1096,0,28
2020-05-20,"Vancouver Coastal",512,36169,2.93,24
2020-05-20,"Vancouver Island",304,19258,0.33,19
2020-05-21,"BC",1920,129943,2.5,24
2020-05-21,"Fraser",696,47351,3.74,25
2020-05-21,"Interior",254,19989,0.79,19
2020-05-21,"Northern",77,5187,3.9,35
2020-05-21,"Unknown",22,1118,0,23
2020-05-21,"Vancouver Coastal",557,36726,2.51,25
2020-05-21,"Vancouver Island",314,19572,0.32,18
2020-05-22,"BC",1872,131815,0.8,23
2020-05-22,"Fraser",689,48040,1.16,25
2020-05-22,"Interior",274,20263,0.36,20
2020-05-22,"Northern",73,5260,0,33
2020-05-22,"Unknown",21,1139,0,21
2020-05-22,"Vancouver Coastal",493,37219,1.22,23
2020-05-22,"Vancouver Island",322,19894,0,18
2020-05-23,"BC",1812,133627,1.27,26
2020-05-23,"Fraser",643,48683,1.71,28
2020-05-23,"Interior",220,20483,0,26
2020-05-23,"Northern",82,5342,2.44,31
2020-05-23,"Unknown",24,1163,0,20
2020-05-23,"Vancouver Coastal",550,37769,1.82,26
2020-05-23,"Vancouver Island",293,20187,0,22
2020-05-24,"BC",1563,135190,0.64,26
2020-05-24,"Fraser",609,49292,1.48,29
2020-05-24,"Interior",254,20737,0,25
2020-05-24,"Northern",59,5401,1.69,39
2020-05-24,"Unknown",9,1172,0,32
2020-05-24,"Vancouver Coastal",439,38208,0,25
2020-05-24,"Vancouver Island",193,20380,0,19
